"created_at","id","text","user_id","user_name","user_screen_name","user_location","user_followers_count","user_friends_count","user_created_at","user_time_zone","user_profile_background_color","user_profile_image_url","geo","coordinates","place"
"Thu Apr 03 03:06:03 +0000 2014",451556205941366800,"@The_Street_FA Nvm. Just figured it out.",73761377,"Ms. Cakes","patycake15","",1034,687,"Sat Sep 12 23:33:55 +0000 2009","Central Time (US & Canada)","B2DFDA","http://pbs.twimg.com/profile_images/445381628576034816/WPfmXIdE_normal.jpeg",null,null,null
"Thu Apr 03 03:06:03 +0000 2014",451556205945561100,"Welll jeez",428452874,"♡jennay♡","Who_Dat_Jelleh","whodatnation ina GIANTuniverse",415,691,"Sun Dec 04 19:44:12 +0000 2011","Central Time (US & Canada)","110303","http://pbs.twimg.com/profile_images/450474430544613376/8k55OrWP_normal.jpeg",null,null,null
"Thu Apr 03 03:06:03 +0000 2014",451556205920411650,"RT @Lumigen: it's not often when you find someone who admires your weird little habits, puts through your shit and can still be able to say…",121233423,"Melissa Leick","leick_melissa","",222,200,"Mon Mar 08 21:34:32 +0000 2010","Eastern Time (US & Canada)","C6E2EE","http://pbs.twimg.com/profile_images/435203930989932544/vUUxDLA__normal.jpeg",null,null,null
"Thu Apr 03 03:06:03 +0000 2014",451556205941784600,"RT @llminhapaixao: Lucas deve estar no 5° sono, ou pegando alguém, e nós aqui zoando forever alones, é nóiss #TudoPoserLucas",1368650294,"time /3","FalaLogoKarina","Santarém-PA",340,486,"Sun Apr 21 04:24:46 +0000 2013",null,"0A0A0A","http://pbs.twimg.com/profile_images/445277255573704704/7kk688yk_normal.jpeg",null,null,null
"Thu Apr 03 03:06:03 +0000 2014",451556205937180700,"RT @ModernFam: .@ericstonestreet says so much with just a look! #ModernFamily",1422204750,"Abbey Dunlop","AbbeyDunlop","Australia",34,58,"Sun May 12 04:27:48 +0000 2013","Brisbane","131516","http://pbs.twimg.com/profile_images/378800000740634795/d85de6207795596514512a0169e34655_normal.png",null,null,null
"Thu Apr 03 03:06:03 +0000 2014",451556205949771800,"@valueofaloonie good to know. For no reason of course.",14364594,"annexw","annexw","",73,122,"Fri Apr 11 20:59:49 +0000 2008","Mountain Time (US & Canada)","C0DEED","http://pbs.twimg.com/profile_images/2520215213/vtq2bk1cdluardy3eh9q_normal.jpeg",null,null,null
"Thu Apr 03 03:06:03 +0000 2014",451556205924999200,"RT @Nashgrier: So blessed to have the family that I do",2377399437,"Celeste Cabrera","M_Ceeleestee","Guatemala",38,65,"Sun Mar 02 23:09:04 +0000 2014",null,"C0DEED","http://pbs.twimg.com/profile_images/440263843718385664/e7DTPSrd_normal.jpeg",null,null,null
"Thu Apr 03 03:06:03 +0000 2014",451556205953970200,"MEXICO! ⚽️⚽️⚽️⚽️⚽️",1629196094,"andrea iz swegerific","Maurici388","",198,276,"Mon Jul 29 01:42:39 +0000 2013",null,"C0DEED","http://pbs.twimg.com/profile_images/449736366218166272/5xMzPrbf_normal.jpeg",null,null,null
"Thu Apr 03 03:06:03 +0000 2014",451556205945962500,"Los buzos d la san francisco son re lindos",928317642,"♥ Rojo Y Negro ","Luci_soledad","",134,220,"Mon Nov 05 20:12:28 +0000 2012","Brasilia","E020C3","http://pbs.twimg.com/profile_images/448029712678666240/ChdxUhzY_normal.jpeg",null,null,null
"Thu Apr 03 03:06:03 +0000 2014",451556205924589600,"@DogGilmour Not sure about that but the Astros did one.",69394734,"Carcel Mousineau","CarcelMousineau","",827,1336,"Thu Aug 27 20:26:32 +0000 2009","Eastern Time (US & Canada)","C0DEED","http://pbs.twimg.com/profile_images/450084038364397568/H23FScXx_normal.jpeg",null,null,null
"Thu Apr 03 03:06:03 +0000 2014",451556205954363400,"It's coming too cause I've been going through to much hell not to receive something great",2148860153,"LadyWisdom♔","prettytweety25","",593,530,"Tue Oct 22 20:26:09 +0000 2013",null,"642D8B","http://pbs.twimg.com/profile_images/451206772246994944/v61ZJzif_normal.jpeg",null,null,null
"Thu Apr 03 03:06:03 +0000 2014",451556205941780500,"@Camm_McK yeah",489822818,"♥ Tim J ♥","xo_Timari_xo","",1269,544,"Sat Feb 11 23:03:40 +0000 2012","Pacific Time (US & Canada)","642D8B","http://pbs.twimg.com/profile_images/451173962370662402/y9jQk0hQ_normal.jpeg",null,null,null
"Thu Apr 03 03:06:03 +0000 2014",451556205924610050,"『相変わらずリーネは変なのばっかりだな』",485460100,"カナンさん＠半bot","mana02142","炬燵の中",21,27,"Tue Feb 07 06:58:05 +0000 2012",null,"C0DEED","http://pbs.twimg.com/profile_images/3054073537/d2d36ecd27ede410d798a99897e98a20_normal.png",null,null,null
"Thu Apr 03 03:06:03 +0000 2014",451556205953953800,"@Ren_kasai とか言って嬉しいでしょ💓(笑)でもたぶん違うよねー(´･_･`)",1316786755,"石川 かれん","karen0126_i","ask1st⇨朝霞高校",377,285,"Sat Mar 30 16:42:20 +0000 2013",null,"C0DEED","http://pbs.twimg.com/profile_images/417196093412098048/wNZUtmKI_normal.jpeg",null,null,null
"Thu Apr 03 03:06:03 +0000 2014",451556205949775900,"RT @bakatter_shinge: Twitterなめてます。 \n絶対に告白させてやりましょう！\n\n４月７日までなので  じゃんじゃんリツイートしてね！！！ \n\n絶対に告白させてやりましょう！ http://t.co/gAL0BOwd4K",2348172824,"E－もぇ*@なあちゃんlove","moepoio","",83,92,"Mon Feb 17 08:55:42 +0000 2014",null,"FFFFFF","http://pbs.twimg.com/profile_images/449080779042082816/JWxRbLBC_normal.jpeg",null,null,null
"Thu Apr 03 03:06:03 +0000 2014",451556205950156800,"""tu no quieres que este contigo y no quieres que este con alguien mas, ¿que tan infeliz debo ser para que seas... http://t.co/BnBpKkuq4c",1495702045,"Jessica Montes d Oca","JessikMonts","",5,15,"Sun Jun 09 14:01:52 +0000 2013",null,"C0DEED","http://pbs.twimg.com/profile_images/3776910915/4206b0cb2507e1fed36836d75de32b21_normal.jpeg",null,null,null
"Thu Apr 03 03:06:03 +0000 2014",451556205949759500,"@RisakoS1110 まじか！笑子もたぶん行くやろか？",931115287,"ゆきな＠OCD","yukina124sora","",857,650,"Wed Nov 07 03:16:52 +0000 2012",null,"000000","http://pbs.twimg.com/profile_images/445820766722850816/P5BbRNxK_normal.jpeg",null,null,null
"Thu Apr 03 03:06:03 +0000 2014",451556205924610050,"そのホモセンサーだけ欲しいでござるな",2301811086,"どざえもん＠隠密ニンジャ","dozaemon_naruse","",8,9,"Mon Jan 20 18:10:20 +0000 2014",null,"C0DEED","http://abs.twimg.com/sticky/default_profile_images/default_profile_1_normal.png",null,null,null
"Thu Apr 03 03:06:03 +0000 2014",451556205958156300,"﴿رب نجني من القوم الظالمين﴾\nhttp://t.co/2UZ9FsFZhF",719335087,"الجوهرة","msm6000","",23,109,"Fri Jul 27 03:29:09 +0000 2012",null,"C0DEED","http://pbs.twimg.com/profile_images/2439612129/image_normal.jpg",null,null,null
"Thu Apr 03 03:06:03 +0000 2014",451556205932990460,"RT @AndrewPStreet: Racism is not OK. Not even a bit OK. And you know that. Now, what are you going to do about it? @SydneyTimeOut http://t.…",216603892,"Tim Sinclair","Tim_Sinclair","Sydney",573,370,"Wed Nov 17 06:12:35 +0000 2010","Sydney","ACDED6","http://pbs.twimg.com/profile_images/1199082041/squarehead_normal.jpg",null,null,null
"Thu Apr 03 03:06:03 +0000 2014",451556205924605950,"RT @WINNER_ACE: [❤️Unseen] Fashionista Lee Seunghoon .////.) ‏cr:AisWINNER http://t.co/CqGcqdFGDp",1956279294,"risa","risa5star","88",25,36,"Sat Oct 12 10:14:34 +0000 2013",null,"FFFFFF","http://pbs.twimg.com/profile_images/451012149955923968/KW6c1Hhw_normal.jpeg",null,null,null
"Thu Apr 03 03:06:03 +0000 2014",451556205950165000,"RT @LaHeroicaCBS: TERREMOTO: 7.4 en Arica, SE INICIA EVACUACIÓN POR ALERTA DE TSUNAMI.",463358946,"sara estay salas","saraestaysalas","viña del mar",81,672,"Sat Jan 14 01:04:49 +0000 2012","Santiago","C0DEED","http://abs.twimg.com/sticky/default_profile_images/default_profile_1_normal.png",null,null,null
"Thu Apr 03 03:06:03 +0000 2014",451556205945573400,"RT @aaagazooo: なんの曲でしょう💖\n\n#AAA大好きな人RT \n#RTしたひと全員フォローする \n#これだけで何のPVか分かる人RT http://t.co/77NuOrHx5r",1291446246,"おーかわらかずき","0319_www","高２  帯広",302,400,"Sat Mar 23 13:34:39 +0000 2013",null,"C0DEED","http://pbs.twimg.com/profile_images/422639236651577344/gzG3MWc9_normal.jpeg",null,null,null
"Thu Apr 03 03:06:03 +0000 2014",451556205937180700,"@Shahirrrrrrrrrr anda bosan?  inginkan teman?  Taip ON BOSAN ke 28882 hahaha",2352575150,"'Promise'","nomymolop_","highlands tower malaysia",304,290,"Thu Feb 20 02:37:21 +0000 2014","Kuala Lumpur","E492EB","http://pbs.twimg.com/profile_images/448436545570086912/VhIQC9LL_normal.jpeg",null,null,null
"Thu Apr 03 03:06:03 +0000 2014",451556205958561800,"Te odio culo aguado @Carycatura_ ily.",346358212,"Victor mejía.","Victorloide","2A12E997. 04246918766.",199,97,"Mon Aug 01 04:09:46 +0000 2011","Hawaii","C0DEED","http://pbs.twimg.com/profile_images/447953693225123840/y6AEP7sD_normal.jpeg",null,null,null
"Thu Apr 03 03:06:03 +0000 2014",451556205920399360,"It's so cute &amp; yummy 🐼 http://t.co/VOkTIFRgQv",263283336,"alejandra","_alejandrahhh","Dinuba, California",447,275,"Wed Mar 09 19:09:09 +0000 2011","Eastern Time (US & Canada)","F1DFC7","http://pbs.twimg.com/profile_images/451241204303155203/NzNk7KHL_normal.jpeg",null,null,null
"Thu Apr 03 03:06:03 +0000 2014",451556205949771800,"RT @magnitudCL: [USGS|preliminar] Magnitud 7.4 el 02/Apr a las 23:43:14 en la COSTA DE TARAPACÁ (al O de Chucumata) a 10km de prof: http://…",1083651198,"Juan Castillo","JuanCastillo065","Lima",31,405,"Sat Jan 12 17:50:36 +0000 2013",null,"C0DEED","http://pbs.twimg.com/profile_images/3123474288/cccce64b8e171ea09b97424feefeef89_normal.jpeg",null,null,null
"Thu Apr 03 03:06:03 +0000 2014",451556205932974100,"@CodyGotWingz when is it?",436336062,"Kaylyn Weaver","kaylyn_weaver","",257,135,"Wed Dec 14 02:20:55 +0000 2011","Central Time (US & Canada)","C0DEED","http://pbs.twimg.com/profile_images/450468152355221505/r3WsY0KS_normal.jpeg",null,null,null
"Thu Apr 03 03:06:03 +0000 2014",451556205937172500,"朝起きたら雨降っててしかもディズニーめっちゃこんでるため行かなくなるところうちららしいよねほんと（≧∇≦）♡",428163073,"ｍ","miachiiiiii","JAPAN",307,275,"Sun Dec 04 12:23:43 +0000 2011","Irkutsk","C0DEED","http://pbs.twimg.com/profile_images/451269699494346752/2rIn6R7i_normal.jpeg",null,null,null
"Thu Apr 03 03:06:03 +0000 2014",451556205937565700,"Having fun playing #CSRRacing for iOS, why not join me for FREE?\nhttp://t.co/0kUi77hBYq  s",490097734,"La Voz del Cambio","VozdelCambio","",6,4,"Sun Feb 12 06:43:56 +0000 2012",null,"C0DEED","http://abs.twimg.com/sticky/default_profile_images/default_profile_0_normal.png",null,null,null
"Thu Apr 03 03:06:03 +0000 2014",451556205937192960,"@ddlovato thanks demi &lt;3 i love you &lt;3",261825722,"Valeska Noemí M","Valeska012","Chile Santiago",185,357,"Sun Mar 06 19:50:27 +0000 2011","Quito","EDECE9","http://pbs.twimg.com/profile_images/451493868706336768/OD0t623n_normal.jpeg",null,null,null
